date,StringencyIndex_Average
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,5.56
2020-01-21,5.56
2020-01-22,5.56
2020-01-23,5.56
2020-01-24,5.56
2020-01-25,5.56
2020-01-26,5.56
2020-01-27,5.56
2020-01-28,5.56
2020-01-29,5.56
2020-01-30,5.56
2020-01-31,8.33
2020-02-01,8.33
2020-02-02,11.11
2020-02-03,11.11
2020-02-04,11.11
2020-02-05,11.11
2020-02-06,11.11
2020-02-07,11.11
2020-02-08,11.11
2020-02-09,11.11
2020-02-10,11.11
2020-02-11,11.11
2020-02-12,11.11
2020-02-13,11.11
2020-02-14,11.11
2020-02-15,11.11
2020-02-16,11.11
2020-02-17,11.11
2020-02-18,11.11
2020-02-19,11.11
2020-02-20,11.11
2020-02-21,11.11
2020-02-22,11.11
2020-02-23,11.11
2020-02-24,11.11
2020-02-25,11.11
2020-02-26,11.11
2020-02-27,11.11
2020-02-28,11.11
2020-02-29,11.11
2020-03-01,11.11
2020-03-02,11.11
2020-03-03,11.11
2020-03-04,11.11
2020-03-05,11.11
2020-03-06,11.11
2020-03-07,11.11
2020-03-08,11.11
2020-03-09,11.11
2020-03-10,11.11
2020-03-11,11.11
2020-03-12,11.11
2020-03-13,12.96
2020-03-14,12.96
2020-03-15,12.96
2020-03-16,16.67
2020-03-17,22.22
2020-03-18,31.48
2020-03-19,31.48
2020-03-20,37.04
2020-03-21,47.22
2020-03-22,62.04
2020-03-23,78.24
2020-03-24,79.63
2020-03-25,79.63
2020-03-26,79.63
2020-03-27,79.63
2020-03-28,79.63
2020-03-29,79.63
2020-03-30,79.63
2020-03-31,79.63
2020-04-01,79.63
2020-04-02,79.63
2020-04-03,79.63
2020-04-04,79.63
2020-04-05,79.63
2020-04-06,79.63
2020-04-07,79.63
2020-04-08,79.63
2020-04-09,79.63
2020-04-10,79.63
2020-04-11,79.63
2020-04-12,79.63
2020-04-13,79.63
2020-04-14,79.63
2020-04-15,79.63
2020-04-16,79.63
2020-04-17,79.63
2020-04-18,79.63
2020-04-19,79.63
2020-04-20,79.63
2020-04-21,79.63
2020-04-22,79.63
2020-04-23,79.63
2020-04-24,79.63
2020-04-25,79.63
2020-04-26,79.63
2020-04-27,79.63
2020-04-28,79.63
2020-04-29,79.63
2020-04-30,79.63
2020-05-01,79.63
2020-05-02,79.63
2020-05-03,79.63
2020-05-04,79.63
2020-05-05,79.63
2020-05-06,79.63
2020-05-07,79.63
2020-05-08,79.63
2020-05-09,79.63
2020-05-10,79.63
2020-05-11,77.78
2020-05-12,77.78
2020-05-13,71.3
2020-05-14,71.3
2020-05-15,71.3
2020-05-16,71.3
2020-05-17,71.3
2020-05-18,71.3
2020-05-19,71.3
2020-05-20,71.3
2020-05-21,71.3
2020-05-22,71.3
2020-05-23,71.3
2020-05-24,71.3
2020-05-25,71.3
2020-05-26,71.3
2020-05-27,71.3
2020-05-28,71.3
2020-05-29,69.44
2020-05-30,69.44
2020-05-31,69.44
2020-06-01,67.59
2020-06-02,67.59
2020-06-03,67.59
2020-06-04,67.59
2020-06-05,67.59
