date,pmi
2009-01-02,34.9
2009-02-02,35.8
2009-03-02,34.7
2009-04-01,39.5
2009-05-01,43.1
2009-06-01,45.4
2009-07-01,47.0
2009-08-03,50.2
2009-09-01,49.7
2009-10-01,49.5
2009-11-02,53.4
2009-12-01,54.6
2010-01-04,54.1
2010-02-01,56.6
2010-03-01,56.6
2010-04-01,57.2
2010-05-04,58.0
2010-06-01,58.0
2010-07-01,57.5
2010-08-02,56.9
2010-09-01,53.7
2010-10-01,53.4
2010-11-01,55.4
2010-12-01,57.5
2011-01-04,58.7
2011-02-01,61.5
2011-03-01,60.9
2011-04-01,56.7
2011-05-03,54.4
2011-06-01,52.0
2011-07-01,51.4
2011-08-01,49.4
2011-09-01,49.4
2011-10-03,50.8
2011-11-01,47.8
2011-12-01,47.7
2012-01-03,49.7
2012-02-01,52.0
2012-03-01,51.5
2012-04-02,51.9
2012-05-01,50.2
2012-06-01,45.9
2012-07-02,48.4
2012-08-01,45.2
2012-09-03,49.5
2012-10-01,48.1
2012-11-01,47.3
2012-12-03,49.2
2013-01-02,51.2
2013-02-01,50.5
2013-03-01,47.9
2013-04-02,48.6
2013-05-01,50.2
2013-06-03,51.5
2013-07-01,52.5
2013-08-01,54.8
2013-09-02,57.2
2013-10-01,56.3
2013-11-01,56.5
2013-12-02,58.1
2014-01-02,57.2
2014-02-03,56.7
2014-03-03,56.2
2014-04-01,55.8
2014-05-01,57.3
2014-06-02,57.0
2014-07-01,57.5
2014-08-01,54.8
2014-09-01,52.2
2014-10-01,51.5
2014-11-03,53.3
2014-12-01,53.3
2015-01-02,52.7
2015-02-02,53.1
2015-03-02,54.1
2015-04-01,54.4
2015-05-01,51.9
2015-06-01,52.0
2015-07-01,51.4
2015-08-03,51.9
2015-09-01,51.5
2015-10-01,51.5
2015-11-02,55.5
2015-12-01,52.7
2016-01-04,51.9
2016-02-01,52.9
2016-03-01,50.8
2016-04-01,51.0
2016-05-03,49.2
2016-06-01,50.1
2016-07-01,52.1
2016-08-01,48.2
2016-09-01,53.3
2016-10-03,55.4
2016-11-01,54.3
2016-12-01,53.4
2017-01-03,56.1
2017-02-01,55.9
2017-03-01,54.6
2017-04-03,54.2
2017-05-02,57.3
2017-06-01,56.7
2017-07-03,54.3
2017-08-01,55.1
2017-09-01,56.9
2017-10-02,55.9
2017-11-01,56.3
2017-12-01,58.2
2018-01-02,56.3
2018-02-01,55.3
2018-03-01,55.2
2018-04-03,55.1
2018-05-01,53.9
2018-06-01,54.4
2018-07-02,54.4
2018-08-01,54.0
2018-09-03,52.8
2018-10-01,53.8
2018-11-01,51.1
2018-12-03,53.1
2019-01-02,54.2
2019-02-01,52.8
2019-03-01,52.0
2019-04-01,55.1
2019-05-01,53.1
2019-06-03,49.4
2019-07-01,48.0
2019-08-01,48.0
2019-09-02,47.4
2019-10-01,48.3
2019-11-01,49.6
2019-12-02,48.9
2020-01-02,47.5
2020-02-03,50.0
2020-03-02,51.7
2020-04-01,47.8
2020-05-01,32.6
2020-06-01,40.7
2020-07-01,50.1
2020-08-03,53.3
2020-09-01,55.2
2020-10-01,54.1
2020-11-02,53.7
2020-12-01,55.6
2021-01-04,57.5
2021-02-01,54.1
2021-03-01,55.1
2021-04-01,58.9
2021-05-04,60.9
2021-06-01,65.6
2021-07-01,63.9
2021-08-02,60.4
2021-09-01,60.3
2021-10-01,57.1
2021-11-01,57.8
2021-12-01,58.1
2022-01-04,57.9
2022-02-01,57.3
2022-03-01,58.0
2022-04-01,55.2
2022-05-03,55.8
2022-06-01,54.6
2022-07-01,52.8
2022-08-01,52.1
2022-09-01,47.3
2022-10-03,48.4
2022-11-01,46.2
2022-12-01,46.5
2023-01-03,45.3
2023-02-01,47.0
2023-03-01,49.3
2023-04-03,47.9
2023-05-02,47.8
2023-06-01,47.1
2023-07-03,46.5
2023-08-01,45.3
2023-09-01,43.0
2023-10-02,44.3
2023-11-01,44.8
2023-12-01,47.2
2024-01-02,46.2
2024-02-01,47.0
2024-03-01,47.5
2024-04-02,50.3
2024-05-01,49.1
2024-06-03,51.2
2024-07-01,50.9
2024-08-01,52.1
2024-09-02,52.5
2024-10-01,51.5
2024-11-01,49.9
2024-12-02,48.0
