date,rsi_mom_change,rsi_volume
2009-01-01,0.8,87.1
2009-02-01,-2.0,85.4
2009-03-01,0.5,85.8
2009-04-01,0.5,86.2
2009-05-01,0.1,86.3
2009-06-01,0.7,86.9
2009-07-01,0.4,87.3
2009-08-01,0.1,87.3
2009-09-01,-0.2,87.2
2009-10-01,0.4,87.5
2009-11-01,-0.6,86.9
2009-12-01,-0.9,86.1
2010-01-01,-3.1,83.4
2010-02-01,2.9,85.8
2010-03-01,-0.7,85.2
2010-04-01,0.5,85.6
2010-05-01,0.3,85.9
2010-06-01,0.1,85.9
2010-07-01,0.3,86.2
2010-08-01,0.1,86.2
2010-09-01,-1.1,85.3
2010-10-01,0.5,85.8
2010-11-01,-0.1,85.7
2010-12-01,-2.0,84.0
2011-01-01,1.8,85.5
2011-02-01,-0.6,85.0
2011-03-01,0.1,85.0
2011-04-01,1.4,86.2
2011-05-01,-2.0,84.5
2011-06-01,-0.2,84.3
2011-07-01,0.4,84.7
2011-08-01,-0.2,84.5
2011-09-01,0.3,84.7
2011-10-01,0.9,85.5
2011-11-01,-0.4,85.1
2011-12-01,0.8,85.8
2012-01-01,-0.4,85.4
2012-02-01,-1.0,84.6
2012-03-01,2.2,86.5
2012-04-01,-2.5,84.3
2012-05-01,0.8,85.0
2012-06-01,0.3,85.2
2012-07-01,-0.1,85.1
2012-08-01,0.1,85.2
2012-09-01,0.5,85.6
2012-10-01,-0.9,84.9
2012-11-01,-0.5,84.5
2012-12-01,0.4,84.8
2013-01-01,-0.4,84.4
2013-02-01,1.6,85.8
2013-03-01,-1.1,84.8
2013-04-01,-0.1,84.7
2013-05-01,1.2,85.7
2013-06-01,0.8,86.4
2013-07-01,0.2,86.6
2013-08-01,-0.8,85.9
2013-09-01,1.1,86.9
2013-10-01,-1.0,86.0
2013-11-01,0.8,86.7
2013-12-01,0.5,87.1
2014-01-01,-0.2,87.0
2014-02-01,0.7,87.6
2014-03-01,1.0,88.4
2014-04-01,-0.1,88.3
2014-05-01,0.5,88.8
2014-06-01,0.3,89.1
2014-07-01,0.2,89.2
2014-08-01,0.3,89.5
2014-09-01,-0.8,88.9
2014-10-01,1.1,89.8
2014-11-01,0.6,90.4
2014-12-01,2.5,92.6
2015-01-01,-1.1,91.6
2015-02-01,0.1,91.8
2015-03-01,0.0,91.8
2015-04-01,0.7,92.4
2015-05-01,-0.1,92.3
2015-06-01,0.3,92.6
2015-07-01,0.1,92.7
2015-08-01,-0.6,92.1
2015-09-01,2.3,94.2
2015-10-01,-1.0,93.3
2015-11-01,0.7,93.9
2015-12-01,0.1,94.0
2016-01-01,2.6,96.5
2016-02-01,-1.1,95.4
2016-03-01,-0.2,95.3
2016-04-01,0.7,95.9
2016-05-01,1.3,97.2
2016-06-01,-1.1,96.1
2016-07-01,1.9,97.9
2016-08-01,-0.3,97.6
2016-09-01,0.5,98.1
2016-10-01,1.7,99.7
2016-11-01,-0.7,99.1
2016-12-01,-0.5,98.6
2017-01-01,-1.2,97.4
2017-02-01,0.6,98.0
2017-03-01,-0.5,97.4
2017-04-01,1.8,99.1
2017-05-01,-1.4,97.8
2017-06-01,0.8,98.6
2017-07-01,-0.1,98.5
2017-08-01,0.9,99.4
2017-09-01,-0.1,99.3
2017-10-01,0.2,99.6
2017-11-01,0.2,99.8
2017-12-01,0.2,100.0
2018-01-01,-1.0,99.0
2018-02-01,0.4,99.4
2018-03-01,-1.4,97.9
2018-04-01,1.5,99.4
2018-05-01,1.9,101.2
2018-06-01,-0.4,100.8
2018-07-01,1.0,101.8
2018-08-01,0.1,101.9
2018-09-01,-0.2,101.7
2018-10-01,-0.6,101.1
2018-11-01,1.4,102.5
2018-12-01,0.1,102.6
2019-01-01,0.1,102.7
2019-02-01,0.3,103.0
2019-03-01,1.2,104.2
2019-04-01,-0.3,103.8
2019-05-01,-0.9,102.9
2019-06-01,1.3,104.2
2019-07-01,1.0,105.3
2019-08-01,-0.9,104.4
2019-09-01,0.0,104.4
2019-10-01,-0.5,103.8
2019-11-01,-0.4,103.5
2019-12-01,0.9,104.5
2020-01-01,-0.1,104.4
2020-02-01,-0.6,103.8
2020-03-01,-6.2,97.3
2020-04-01,-17.9,80.0
2020-05-01,13.5,90.8
2020-06-01,12.6,102.2
2020-07-01,4.8,107.1
2020-08-01,1.4,108.6
