v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
87.1,,Jan-09,Jan-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.8,,Jan-09,Jan-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-2.0,,Feb-09,Feb-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
85.4,,Feb-09,Feb-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
85.8,,Mar-09,Mar-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.5,,Mar-09,Mar-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
0.5,,Apr-09,Apr-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
86.2,,Apr-09,Apr-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
86.3,,May-09,May-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.1,,May-09,May-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
0.7,,Jun-09,Jun-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
86.9,,Jun-09,Jun-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
87.3,,Jul-09,Jul-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.4,,Jul-09,Jul-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
87.3,,Aug-09,Aug-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.1,,Aug-09,Aug-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-0.2,,Sep-09,Sep-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
87.2,,Sep-09,Sep-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
0.4,,Oct-09,Oct-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
87.5,,Oct-09,Oct-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
-0.6,,Nov-09,Nov-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
86.9,,Nov-09,Nov-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
-0.9,,Dec-09,Dec-09,K03000001,Great Britain,all-retailing-including-automotive-fuel,All retailing including automotive fuel,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
