Date	ActualValue	ForecastValue	PreviousValue
2026.06.23	53.1	54.3	53.9
2026.06.01	53.9	53.7	53.7
2026.05.21	53.7	53.8	53.7
2026.05.01	53.7	53.6	53.6
2026.04.23	53.6	50.4	51.0
2026.04.01	51.0	51.4	51.4
2026.03.24	51.4	52.4	51.7
2026.03.02	51.7	52.0	52.0
2026.02.20	52.0		50.6
2026.01.02	50.6		51.2
2025.12.16	51.2	50.2	50.2
2025.12.01	50.2	50.2	50.2
2025.11.21	50.2	50.2	49.7
2025.11.03	49.7	49.6	49.6
2025.10.24	49.6		46.2
2025.10.01	46.2		46.2
2025.09.23	46.2	46.4	47.0
2025.09.01	47.0	47.3	47.3
2025.08.21	47.3	48.2	48.0
2025.08.01	48.0	48.2	48.2
2025.07.24	48.2	47.6	47.7
2025.07.01	47.7	47.7	47.7
2025.06.23	47.7	46.7	46.4
2025.06.02	46.4	45.1	45.1
2025.05.22	45.1	45.8	45.4
2025.05.01	45.4	44.0	44.0
2025.04.23	44.0	44.2	44.9
2025.04.01	44.9	44.6	44.6
2025.03.24	44.6	45.7	46.9
2025.03.03	46.9	46.4	46.4
2025.02.21	46.4	48.3	48.3
2025.02.03	48.3	48.2	48.2
2025.01.24	48.2	46.5	47.0
2025.01.02	47.0	47.3	47.3
2024.12.16	47.3	47.9	48.0
2024.12.02	48.0	48.6	48.6
2024.11.22	48.6	50.2	49.9
2024.11.01	49.9	50.3	50.3
2024.10.24	50.3	52.1	51.5
2024.10.01	51.5	51.5	51.5
2024.09.23	51.5	53.2	52.5
2024.09.02	52.5	52.5	52.5
2024.08.22	52.5	50.3	52.1
2024.08.01	52.1	51.8	51.8
2024.07.24	51.8	52.6	50.9
2024.07.01	50.9	51.4	51.4
2024.06.21	51.4	50.5	51.2
2024.06.03	51.2	51.3	51.3
2024.05.23	51.3	50.0	49.1
2024.05.01	49.1	48.7	48.7
2024.04.23	48.7	50.0	50.3
2024.04.02	50.3	49.9	49.9
2024.03.21	49.9	47.4	47.5
2024.03.01	47.5	47.1	47.1
2024.02.22	47.1	47.4	47.0
2024.02.01	47.0	47.3	47.3
2024.01.24	47.3	46.4	46.2
2024.01.02	46.2	46.4	46.4
2023.12.15	46.4	46.9	47.2
2023.12.01	47.2	46.7	46.7
2023.11.23	46.7	44.9	44.8
2023.11.01	44.8	45.2	45.2
2023.10.24	45.2	45.3	44.3
2023.10.02	44.3	44.2	44.2
2023.09.22	44.2	42.2	43.0
2023.09.01	43.0	42.5	42.5
2023.08.23	42.5	44.4	45.3
2023.08.01	45.3	45.0	45.0
2023.07.24	45.0	46.3	46.5
2023.07.03	46.5	46.2	46.2
2023.06.23	46.2	46.9	47.1
2023.06.01	47.1	46.9	46.9
2023.05.23	46.9	47.1	47.8
2023.05.02	47.8	46.6	46.6
